file,B/M,heidel,heidel_type,corpus,corpus_type
ES100447.xml,BIEN,enero de 2004,DATE,enero de 2004,DATE
ES100447.xml,BIEN,enero de 2006,DATE,enero de 2006,DATE
ES100447.xml,BIEN,3 meses,DURATION,3 meses,DURATION
ES100447.xml,BIEN,tres meses,DURATION,tres meses,DURATION
ES100526.xml,BIEN,los 4 meses,DURATION,los 4 meses,DURATION
ES100042.xml,BIEN,8 meses,DURATION,8 meses,DURATION
ES100042.xml,BIEN,los últimos 6 meses,DURATION,los últimos 6 meses,DURATION
ES100042.xml,BIEN,los 3 meses,DURATION,los 3 meses,DURATION
ES100042.xml,BIEN,3 meses,DURATION,3 meses,DURATION
ES100042.xml,BIEN,6 meses,DURATION,6 meses,DURATION
ES100042.xml,BIEN,diaria,SET,diaria,SET
ES100042.xml,BIEN,6 meses,DURATION,6 meses,DURATION
ES100042.xml,BIEN,45 días,DURATION,45 días,DURATION
ES100042.xml,BIEN,45 días,DURATION,45 días,DURATION
ES100042.xml,BIEN,Actualmente,DATE,Actualmente,DATE
ES100650.xml,BIEN,3 años,DURATION,3 años,DURATION
ES100320.xml,BIEN,15 días,DURATION,15 días,DURATION
ES100320.xml,BIEN,varias semanas,DURATION,varias semanas,DURATION
ES100280.xml,BIEN,los 5 años,DURATION,los 5 años,DURATION
ES100519.xml,BIEN,los 15 días,DURATION,los 15 días,DURATION
ES100519.xml,BIEN,los 20 días,DURATION,los 20 días,DURATION
ES100519.xml,BIEN,Dos meses,DURATION,Dos meses,DURATION
ES100727.xml,BIEN,los 10 días,DURATION,los 10 días,DURATION
ES100727.xml,BIEN,Actualmente,DATE,Actualmente,DATE
ES100848.xml,BIEN,noviembre de 2005,DATE,noviembre de 2005,DATE
ES100848.xml,BIEN,marzo de 2007,DATE,marzo de 2007,DATE
ES100079.xml,BIEN,3 meses,DURATION,3 meses,DURATION
ES100079.xml,BIEN,Actualmente,DATE,Actualmente,DATE
ES100079.xml,BIEN,20 meses,DURATION,20 meses,DURATION
ES100737.xml,BIEN,10 días,DURATION,10 días,DURATION
ES100737.xml,BIEN,los diez días,DURATION,los diez días,DURATION
ES100737.xml,BIEN,la actualidad,DATE,la actualidad,DATE
ES100521.xml,BIEN,11 días,DURATION,11 días,DURATION
ES100521.xml,BIEN,21 días,DURATION,21 días,DURATION
ES100521.xml,BIEN,7 semanas,DURATION,7 semanas,DURATION
ES100521.xml,BIEN,diarios,SET,diarios,SET
ES100521.xml,BIEN,20 días,DURATION,20 días,DURATION
ES100521.xml,BIEN,diarios,SET,diarios,SET
ES100521.xml,BIEN,5 minutos,DURATION,5 minutos,DURATION
ES100521.xml,BIEN,20 días,DURATION,20 días,DURATION
ES100521.xml,BIEN,Una semana,DURATION,Una semana,DURATION
ES100521.xml,BIEN,Seis semanas,DURATION,Seis semanas,DURATION
ES100284.xml,BIEN,dos meses,DURATION,dos meses,DURATION
ES100736.xml,BIEN,Septiembre de 2003,DATE,Septiembre de 2003,DATE
ES100736.xml,BIEN,8 meses,DURATION,8 meses,DURATION
ES100736.xml,BIEN,Mayo de 2004,DATE,Mayo de 2004,DATE
ES100736.xml,BIEN,las pocas horas,DURATION,las pocas horas,DURATION
ES100736.xml,BIEN,un mes,DURATION,un mes,DURATION
ES100050.xml,BIEN,unos 8 meses,DURATION,unos 8 meses,DURATION
ES100091.xml,BIEN,unos 15 días,DURATION,unos 15 días,DURATION
ES100091.xml,BIEN,8 años,DURATION,8 años,DURATION
ES100091.xml,BIEN,las últimas dos semanas,DURATION,las últimas dos semanas,DURATION
ES100091.xml,BIEN,tres años,DURATION,tres años,DURATION
ES100278.xml,BIEN,4 años,DURATION,4 años,DURATION
ES100791.xml,BIEN,6 años,DURATION,6 años,DURATION
ES100578.xml,BIEN,las 12 semanas,DURATION,las 12 semanas,DURATION
ES100578.xml,BIEN,las tres semanas,DURATION,las tres semanas,DURATION
ES100633.xml,BIEN,7 días,DURATION,7 días,DURATION
ES100631.xml,BIEN,4 días,DURATION,4 días,DURATION
ES100631.xml,BIEN,los 4 meses,DURATION,los 4 meses,DURATION
ES100143.xml,BIEN,las 2 semanas,DURATION,las 2 semanas,DURATION
ES100962.xml,BIEN,una semana,DURATION,una semana,DURATION
ES100962.xml,BIEN,una semana,DURATION,una semana,DURATION
ES100962.xml,BIEN,los diez días,DURATION,los diez días,DURATION
ES100552.xml,BIEN,10 días,DURATION,10 días,DURATION
ES100552.xml,BIEN,los 8 meses,DURATION,los 8 meses,DURATION
ES100778.xml,BIEN,diaria,SET,diaria,SET
ES100778.xml,BIEN,las 2 semanas,DURATION,las 2 semanas,DURATION
ES100778.xml,BIEN,18 meses,DURATION,18 meses,DURATION
ES100803.xml,BIEN,los cuatro meses,DURATION,los cuatro meses,DURATION
ES100634.xml,BIEN,un mes,DURATION,un mes,DURATION
ES100634.xml,BIEN,diarios,SET,diarios,SET
ES100634.xml,BIEN,los seis meses,DURATION,los seis meses,DURATION
ES100634.xml,BIEN,tres años,DURATION,tres años,DURATION
ES100797.xml,BIEN,los 6 meses,DURATION,los 6 meses,DURATION
ES100594.xml,BIEN,los 10 meses,DURATION,los 10 meses,DURATION
ES100594.xml,BIEN,la actualidad,DATE,la actualidad,DATE
ES100423.xml,BIEN,16 años,DURATION,16 años,DURATION
ES100569.xml,BIEN,una semana,DURATION,una semana,DURATION
ES100030.xml,BIEN,los 4 meses,DURATION,los 4 meses,DURATION
ES100178.xml,BIEN,14 días,DURATION,14 días,DURATION
ES100420.xml,BIEN,3 días,DURATION,3 días,DURATION
ES100420.xml,BIEN,ocho meses,DURATION,ocho meses,DURATION
ES100363.xml,BIEN,los 5 días,DURATION,los 5 días,DURATION
ES100363.xml,BIEN,los 5 días,DURATION,los 5 días,DURATION
ES100363.xml,BIEN,los 4 meses,DURATION,los 4 meses,DURATION
ES100363.xml,BIEN,los 3 meses,DURATION,los 3 meses,DURATION
ES100571.xml,BIEN,1 mes,DURATION,1 mes,DURATION
ES100571.xml,BIEN,1 semana,DURATION,1 semana,DURATION
ES100571.xml,BIEN,3 meses,DURATION,3 meses,DURATION
ES100571.xml,BIEN,Una semana,DURATION,Una semana,DURATION
ES100809.xml,BIEN,los 15 días,DURATION,los 15 días,DURATION
ES100809.xml,BIEN,30 minutos,DURATION,30 minutos,DURATION
ES100410.xml,BIEN,un mes,DURATION,un mes,DURATION
ES100410.xml,BIEN,las dos semanas,DURATION,las dos semanas,DURATION
ES100410.xml,BIEN,los 40 días,DURATION,los 40 días,DURATION
ES100410.xml,BIEN,los 73 días,DURATION,los 73 días,DURATION
ES100002.xml,BIEN,9 años,DURATION,9 años,DURATION
ES100994.xml,BIEN,el mismo mes,DATE,el mismo mes,DATE
ES100994.xml,BIEN,un año,DURATION,un año,DURATION
ES100214.xml,BIEN,11 días,DURATION,11 días,DURATION
ES100214.xml,BIEN,20 minutos,DURATION,20 minutos,DURATION
ES100214.xml,BIEN,30 minutos,DURATION,30 minutos,DURATION
ES100214.xml,BIEN,40 minutos,DURATION,40 minutos,DURATION
ES100605.xml,BIEN,los pocos días,DURATION,los pocos días,DURATION
ES100163.xml,BIEN,los 4 meses,DURATION,los 4 meses,DURATION
ES100177.xml,BIEN,Ocho horas,DURATION,Ocho horas,DURATION
ES100177.xml,BIEN,Cuatro meses,DURATION,Cuatro meses,DURATION
ES100775.xml,BIEN,12 días,DURATION,12 días,DURATION
ES100775.xml,BIEN,3 días,DURATION,3 días,DURATION
ES100946.xml,BIEN,6 meses,DURATION,6 meses,DURATION
ES100947.xml,BIEN,los 6 meses,DURATION,los 6 meses,DURATION
ES100947.xml,BIEN,2 minutos,DURATION,2 minutos,DURATION
ES100947.xml,BIEN,4 días,DURATION,4 días,DURATION
ES100947.xml,BIEN,2 semanas,DURATION,2 semanas,DURATION
ES100760.xml,BIEN,enero de 2010,DATE,enero de 2010,DATE
ES100760.xml,BIEN,abril de 2011,DATE,abril de 2011,DATE
ES100760.xml,BIEN,una semana,DURATION,una semana,DURATION
ES100760.xml,BIEN,abril de 2011,DATE,abril de 2011,DATE
ES100760.xml,BIEN,septiembre de 2012,DATE,septiembre de 2012,DATE
ES100819.xml,BIEN,las 6 horas,DURATION,las 6 horas,DURATION
ES100819.xml,BIEN,12 horas,DURATION,12 horas,DURATION
ES100789.xml,BIEN,las 2 semanas,DURATION,las 2 semanas,DURATION
ES100789.xml,BIEN,los 3 meses,DURATION,los 3 meses,DURATION
ES100561.xml,BIEN,muchos años,DURATION,muchos años,DURATION
ES100561.xml,BIEN,las tres semanas,DURATION,las tres semanas,DURATION
ES100561.xml,BIEN,dos meses,DURATION,dos meses,DURATION
ES100561.xml,BIEN,mensuales,SET,mensuales,SET
ES100561.xml,BIEN,los 7 meses,DURATION,los 7 meses,DURATION
ES100978.xml,BIEN,5 meses,DURATION,5 meses,DURATION
ES100978.xml,BIEN,los dos meses,DURATION,los dos meses,DURATION
ES100937.xml,BIEN,cinco días,DURATION,cinco días,DURATION
ES100063.xml,BIEN,6 meses,DURATION,6 meses,DURATION
ES100063.xml,BIEN,los 40 días,DURATION,los 40 días,DURATION
ES100063.xml,BIEN,Actualmente,DATE,Actualmente,DATE
ES100063.xml,BIEN,28 meses,DURATION,28 meses,DURATION
ES100705.xml,BIEN,los tres meses,DURATION,los tres meses,DURATION
ES100659.xml,BIEN,las dos semanas,DURATION,las dos semanas,DURATION
ES100659.xml,BIEN,una semana,DURATION,una semana,DURATION
ES100840.xml,BIEN,unas horas,DURATION,unas horas,DURATION
ES100713.xml,BIEN,5 meses,DURATION,5 meses,DURATION
ES100896.xml,BIEN,unas 10 horas,DURATION,unas 10 horas,DURATION
ES100064.xml,BIEN,mayo de 2006,DATE,mayo de 2006,DATE
ES100064.xml,BIEN,1993,DATE,1993,DATE
ES100064.xml,BIEN,1994,DATE,1994,DATE
ES100064.xml,BIEN,septiembre de 2005,DATE,septiembre de 2005,DATE
ES100064.xml,BIEN,cada 21 días,SET,cada 21 días,SET
ES100064.xml,BIEN,6 meses,DURATION,6 meses,DURATION
ES100064.xml,BIEN,enero de 2006,DATE,enero de 2006,DATE
ES100064.xml,BIEN,junio de 2006,DATE,junio de 2006,DATE
ES100064.xml,BIEN,cada 21 días,SET,cada 21 días,SET
ES100064.xml,BIEN,finales de septiembre de 2006,DATE,finales de septiembre de 2006,DATE
ES100064.xml,BIEN,julio de 2006,DATE,julio de 2006,DATE
ES100064.xml,BIEN,octubre de 2006,DATE,octubre de 2006,DATE
ES100064.xml,BIEN,enero de 2007,DATE,enero de 2007,DATE
ES100273.xml,BIEN,enero de 2008,DATE,enero de 2008,DATE
ES100924.xml,BIEN,36 horas,DURATION,36 horas,DURATION
ES100688.xml,BIEN,octubre de 2006,DATE,octubre de 2006,DATE
ES100688.xml,BIEN,del año 2004,DATE,del año 2004,DATE
ES100688.xml,BIEN,el mismo año,DATE,el mismo año,DATE
ES100688.xml,BIEN,tres meses,DURATION,tres meses,DURATION
ES100663.xml,BIEN,varios meses,DURATION,varios meses,DURATION
ES100715.xml,BIEN,2 semanas,DURATION,2 semanas,DURATION
ES100715.xml,BIEN,2 meses,DURATION,2 meses,DURATION
ES100715.xml,BIEN,3 semanas,DURATION,3 semanas,DURATION
ES100259.xml,BIEN,un año,DURATION,un año,DURATION
ES100112.xml,BIEN,4 meses,DURATION,4 meses,DURATION
ES100112.xml,BIEN,los seis meses,DURATION,los seis meses,DURATION
ES100310.xml,BIEN,dos meses,DURATION,dos meses,DURATION
ES100310.xml,BIEN,dos años,DURATION,dos años,DURATION
ES100304.xml,BIEN,semanal,SET,semanal,SET
ES100304.xml,BIEN,semanal,SET,semanal,SET
ES100304.xml,BIEN,la actualidad,DATE,la actualidad,DATE
ES100447.xml,MAL,abril de 2006,DATE,abril de 2006,DATE
ES100686.xml,MAL,el siguiente mes,DATE,el siguiente mes,DURATION
ES100042.xml,MAL,al año,SET,al año,DURATION
ES100519.xml,MAL,las 48 horas,DURATION,las 48 horas,DURATION
ES100519.xml,MAL,las 24 horas,DURATION,las 24 horas,DURATION
ES100519.xml,MAL,las 48 horas,DURATION,las 48 horas,DURATION
ES100848.xml,MAL,120 horas,DURATION,120 horas,DURATION
ES100079.xml,MAL,los 12 meses,DURATION,los 12 meses,DURATION
ES100521.xml,MAL,2 semanas,DURATION,2 semanas,DURATION
ES100736.xml,MAL,unas 48 horas,DURATION,unas 48 horas,DURATION
ES100642.xml,MAL,Al mes,SET,Al mes,DURATION
ES100587.xml,MAL,hace 2 años,DATE,hace 2 años,DURATION
ES100633.xml,MAL,los 5 meses,DURATION,los 5 meses,DURATION
ES100633.xml,MAL,24 meses,DURATION,24 meses,DURATION
ES100631.xml,MAL,al mes,SET,al mes,DURATION
ES100631.xml,MAL,24 meses,DURATION,24 meses,DURATION
ES100143.xml,MAL,al mes,SET,al mes,DURATION
ES100552.xml,MAL,hace 20 años,DATE,hace 20 años,DURATION
ES100634.xml,MAL,al año,SET,al año,DURATION
ES100797.xml,MAL,hace un año,DATE,hace un año,DURATION
ES100594.xml,MAL,hace 17 años,DATE,hace 17 años,DURATION
ES100423.xml,MAL,al año,SET,al año,DURATION
ES100363.xml,MAL,al mes,SET,al mes,DURATION
ES100001.xml,MAL,el último año,DATE,el último año,DURATION
ES100809.xml,MAL,las 24 horas,DURATION,las 24 horas,DURATION
ES100994.xml,MAL,el mismo mes,DATE,el mismo mes,DATE
ES100214.xml,MAL,24 horas,DURATION,24 horas,DURATION
ES100214.xml,MAL,el día 1,DATE,el día 1,DATE
ES100214.xml,MAL,El día 12,DATE,El día 12,DATE
ES100214.xml,MAL,60 minutos,DURATION,60 minutos,DURATION
ES100214.xml,MAL,el día 15,DATE,el día 15,DATE
ES100214.xml,MAL,el día 16,DATE,el día 16,DATE
ES100163.xml,MAL,los últimos días,DURATION,los últimos días,DURATION
ES100177.xml,MAL,13 días,DURATION,13 días,DURATION
ES100832.xml,MAL,24 horas,DURATION,24 horas,DURATION
ES100947.xml,MAL,los 12 meses,DURATION,los 12 meses,DURATION
ES100819.xml,MAL,24 horas,DURATION,24 horas,DURATION
ES100819.xml,MAL,al mes,SET,al mes,DURATION
ES100789.xml,MAL,hace 2 semanas,DATE,hace 2 semanas,DURATION
ES100937.xml,MAL,48 horas,DURATION,48 horas,DURATION
ES100937.xml,MAL,las 48 horas,DURATION,las 48 horas,DURATION
ES100063.xml,MAL,veinticuatro meses,DURATION,veinticuatro meses,DURATION
ES100659.xml,MAL,la semana,DATE,la semana,DURATION
ES100840.xml,MAL,48 horas,DURATION,48 horas,DURATION
ES100840.xml,MAL,el último año,DATE,el último año,DURATION
ES100064.xml,MAL,Recientemente,DATE,Recientemente,DATE
ES100663.xml,MAL,estos momentos,DATE,estos momentos,TIME
ES100259.xml,MAL,24 horas,DURATION,24 horas,DURATION
ES100112.xml,MAL,las 72 horas,DURATION,las 72 horas,DURATION
