,Unnamed: 0,file,string,begin,end,value,timex3Class
6,8,ES100686.xml,Cinco días más tarde,379,399,XXXX-XX-XX,DATE
13,16,ES100042.xml,días antes,1118,1128,PXD,DURATION
14,17,ES100042.xml,días consecutivos,1916,1933,XXXX-XX-XX,DATE
17,20,ES100042.xml,días alternos,2837,2850,P2D,SET
22,25,ES100042.xml,días alternos,2978,2991,P2D,SET
24,27,ES100042.xml,del tercer mes,3196,3210,XXXX-XX,DATE
27,31,ES100650.xml,el 5º día postoperatorio,1319,1343,XXXX-XX-XX,DATE
30,34,ES100320.xml,los días siguientes,1851,1870,PXD,DURATION
31,35,ES100320.xml,tres semanas más tarde,2321,2343,XXXX-XX-XX,DATE
34,38,ES100280.xml,Seis meses después,448,466,XXXX-XX-XX,DATE
35,39,ES100280.xml,poco después,826,838,FUTURE_REF,DATE
36,40,ES100519.xml,4 días antes,281,293,XXXX-XX-XX,DATE
37,41,ES100519.xml,ese momento,344,355,XXXX-XX-XX,DATE
41,45,ES100519.xml,El sexto día postingreso,1774,1798,XXXX-XX-XX,DATE
50,58,ES100848.xml,1,824,825,XXXX-XX-XX,DATE
51,59,ES100848.xml,5,828,829,XXXX-XX-XX,DATE
52,60,ES100848.xml,21,832,834,XXXX-XX-XX,DATE
53,61,ES100848.xml,25,837,839,XXXX-XX-XX,DATE
62,70,ES100737.xml,vespertino,227,237,XXXX-XX-XXTEV,TIME
65,73,ES100521.xml,14 años antes,76,89,XXXX-XX-XX,DATE
72,80,ES100521.xml,las primeras 48h,1869,1885,PT48H,DURATION
74,82,ES100521.xml,2,1977,1978,PT2M,DURATION
75,83,ES100521.xml,La primera semana,1996,2013,XXXX-WXX,DATE
77,85,ES100521.xml,3 veces por semana,2334,2352,P1W,SET
79,87,ES100521.xml,4 meses y medio,3188,3203,P4.5M,DURATION
82,90,ES100284.xml,siete meses antes,103,120,XXXX-XX-XX,DATE
83,91,ES100284.xml,ese periodo,182,193,P7M,DURATION
86,94,ES100284.xml,3 meses más tarde,1552,1569,XXXX-XX-XX,DATE
89,97,ES100736.xml,dicho periodo de tiempo,357,380,P8M,DURATION
94,103,ES100736.xml,al cuarto día,3152,3165,XXXX-XX-XX,DATE
95,104,ES100736.xml,las semanas sucesivas,3297,3318,PXW,DURATION
102,114,ES100091.xml,cada 34 horas,638,652,None,SET
104,116,ES100278.xml,el momento,286,296,XXXX-XX-XXTXX,TIME
117,131,ES100631.xml,4º mes,2926,2932,2017-04,DATE
118,132,ES100631.xml,la fecha actual,2984,2999,2018-12-01,DATE
128,147,ES100778.xml,cada 30 minutos,770,785,T30M,SET
129,148,ES100778.xml,las 4 am,789,798,XXXX-XX-XXT04,TIME
131,150,ES100778.xml,24 h más tarde,1548,1562,PT24H,DURATION
140,159,ES100797.xml,2 años,127,133,P2Y,DURATION
142,161,ES100797.xml,nocturno,511,519,XXXX-XX-XXTNI,TIME
143,163,ES100797.xml,2 a la semana,1275,1288,P1W,SET
144,164,ES100797.xml,20min,1596,1601,PT20M,DURATION
145,166,ES100797.xml,20min,1760,1765,PT20M,DURATION
150,172,ES100423.xml,Quince días antes,280,297,XXXX-XX-XX,DATE
152,174,ES100423.xml,duración variable,548,565,PXX,DURATION
157,180,ES100030.xml,18 meses antes,115,129,XXXX-XX-XX,DATE
159,182,ES100178.xml,10 años antes,105,118,2008,DATE
160,183,ES100178.xml,56 horas,352,361,PT5-6H,DURATION
161,184,ES100178.xml,tres días después,491,508,XXXX-XX-XX,DATE
163,186,ES100178.xml,7 días después,671,685,XXXX-XX-XX,DATE
164,187,ES100420.xml,Dos meses antes,826,841,XXXX-XX-XX,DATE
165,188,ES100420.xml,cada 6 horas,1322,1334,T6H,SET
167,190,ES100420.xml,2 días después,1375,1389,XXXX-XX-XX,DATE
169,192,ES100363.xml,mes y medio,95,106,P1.5M,DURATION
176,199,ES100001.xml,un año antes,166,178,XXXX-XX-XX,DATE
178,201,ES100571.xml,12 meses,260,268,P12M,DURATION
179,202,ES100571.xml,la primera hora,918,933,PT1H,DURATION
183,206,ES100571.xml,la primera hora,3427,3442,PT1H,DURATION
185,208,ES100809.xml,del sexto día,1817,1830,XXXX-XX-XX,DATE
188,211,ES100809.xml,los 6 primeros días,3148,3167,P6D,DURATION
190,213,ES100410.xml,once años antes,116,131,2007,DATE
195,218,ES100002.xml,Ocho meses antes,421,437,XXXX-XX,DATE
197,221,ES100994.xml,Dos años antes,141,155,2016,DATE
198,222,ES100994.xml,Un año después,1685,1699,2017,DATE
202,226,ES100994.xml,esas épocas,2969,2980,XXXX-XX,DATE
204,228,ES100214.xml,las 36 h,282,290,PT36H,DURATION
207,231,ES100214.xml,24 h,494,498,PT24H,DURATION
208,232,ES100214.xml,horarios,510,518,PT1H,SET
212,236,ES100214.xml,cada 2 h,1048,1056,PT2H,SET
215,239,ES100214.xml,cada 2 horas,1394,1406,PT2H,SET
216,240,ES100214.xml,36 h,1594,1598,PT36H,DURATION
223,247,ES100177.xml,Diez horas más tarde,503,523,2017-XX-XXTXX,TIME
226,250,ES100177.xml,un año después,924,938,2018-12-01,DATE
227,251,ES100417.xml,las 16 y 18 semanas,559,578,P16-18W,DURATION
229,253,ES100832.xml,Horas después,486,499,XXXX-XX-XXTXX,TIME
230,254,ES100832.xml,2 horas más tarde,1276,1293,XXXX-XX-XXTXX,TIME
236,261,ES100947.xml,8 hrs,1422,1427,T8H,SET
246,272,ES100819.xml,1 hora 50 minutos,968,985,PT1.83H,DURATION
256,283,ES100561.xml,el momento,463,473,XXXX-XX-XXTXX,TIME
263,290,ES100978.xml,hace un mes aproximadamente,62,89,P1M,DURATION
264,291,ES100978.xml,cada 12 horas,2303,2316,T1H,SET
268,295,ES100937.xml,las siguientes 24 horas,704,727,PT24H,DURATION
270,297,ES100937.xml,Al cuarto día,812,825,XXXX-XX-XX,DATE
272,299,ES100937.xml,al quinto día,1894,1907,XXXX-XX-XX,DATE
273,300,ES100937.xml,al duodécimo día,1936,1952,XXXX-XX-XX,DATE
274,301,ES100513.xml,el momento,585,595,2018-12-01TXX,TIME
276,304,ES100063.xml,al séptimo día postintervención,2198,2229,XXXX-XX-XX,DATE
278,307,ES100063.xml,los seis,3247,3255,P6M,DURATION
279,308,ES100063.xml,nueve,3257,3262,P9M,DURATION
280,309,ES100063.xml,doce,3264,3268,P12M,DURATION
284,313,ES100705.xml,Veintiún días,1516,1529,P21D,DURATION
292,323,ES100840.xml,las horas siguientes,1871,1891,PTXH,DURATION
296,329,ES100896.xml,al tercer día,1663,1676,2018-12-01,DATE
298,331,ES100064.xml,20 años antes,245,258,1986,DATE
302,335,ES100064.xml,esa época,522,531,2005-09,DATE
306,339,ES100064.xml,Días antes,721,731,PXD,DURATION
319,353,ES100688.xml,intervalos de una semana,1556,1580,P1W,SET
321,355,ES100688.xml,al mes post operatorio,1998,2020,P1M,DURATION
327,361,ES100715.xml,30 s,2314,2318,PT30S,DURATION
328,362,ES100098.xml,ese momento,1476,1487,XXXX-XX-XXTXX,TIME
333,368,ES100112.xml,Veinte días,488,499,P20D,DURATION
334,369,ES100112.xml,Tres días después,1467,1484,XXXX-XX-XX,DATE
335,370,ES100112.xml,al décimo día postoperatorio,2095,2124,XXXX-XX-XX,DATE
338,373,ES100112.xml,ese momento,2862,2873,XXXX-XX-XXTXX,TIME
339,376,ES100310.xml,hacía 3 meses,150,163,2018-09-01,DATE
