,id_file,file,string,begin,end,value,timex3Class
0,0,ES100447.xml,50 años,9,16,P50Y,DURATION
1,0,ES100447.xml,enero de 2004,41,54,2004-01,DATE
2,0,ES100447.xml,enero de 2006,317,330,2006-01,DATE
3,0,ES100447.xml,abril de 2006,421,434,2006-04,DATE
4,0,ES100447.xml,3 meses,525,532,P3M,DURATION
5,0,ES100447.xml,tres meses,1901,1911,P3M,DURATION
6,1,ES100686.xml,el siguiente mes,131,147,XXXX-XX,DATE
7,1,ES100686.xml,6 meses,193,200,P6M,DURATION
8,1,ES100686.xml,Cinco días,379,389,P5D,DURATION
9,1,ES100686.xml,cuatro semanas,508,522,P4W,DURATION
10,2,ES100526.xml,34 años,12,19,P34Y,DURATION
11,2,ES100526.xml,8 meses,146,153,P8M,DURATION
12,2,ES100526.xml,los 4 meses,259,270,P4M,DURATION
13,3,ES100042.xml,70 años,36,43,P70Y,DURATION
14,3,ES100042.xml,8 meses,194,201,P8M,DURATION
15,3,ES100042.xml,los últimos 6 meses,333,352,P6M,DURATION
16,3,ES100042.xml,los 3 meses,913,924,P3M,DURATION
17,3,ES100042.xml,la mañana,1903,1912,XXXX-XX-XXTMO,TIME
18,3,ES100042.xml,diaria,2796,2802,P1D,SET
19,3,ES100042.xml,3 meses,2812,2819,P3M,DURATION
20,3,ES100042.xml,6 meses,2859,2866,P6M,DURATION
21,3,ES100042.xml,diaria,2910,2916,P1D,SET
22,3,ES100042.xml,6 meses,2917,2924,P6M,DURATION
23,3,ES100042.xml,45 días,2950,2957,P45D,DURATION
24,3,ES100042.xml,45 días,3006,3013,P45D,DURATION
25,3,ES100042.xml,Actualmente,3228,3239,PRESENT_REF,DATE
26,3,ES100042.xml,al año,3241,3247,P1Y,SET
27,4,ES100650.xml,47 años,9,16,P47Y,DURATION
28,4,ES100650.xml,próxima,858,865,FUTURE_REF,DATE
29,4,ES100650.xml,3 años,1769,1775,P3Y,DURATION
30,5,ES100320.xml,27 años,9,16,P27Y,DURATION
31,5,ES100320.xml,15 días,45,52,P15D,DURATION
32,5,ES100320.xml,reciente,216,224,PAST_REF,DATE
33,5,ES100320.xml,tres semanas,2321,2333,P3W,DURATION
34,5,ES100320.xml,varias semanas,3821,3835,PXW,DURATION
35,6,ES100280.xml,los 5 años,190,200,P5Y,DURATION
36,6,ES100280.xml,Seis meses,448,458,P6M,DURATION
37,7,ES100519.xml,77 años,9,16,P77Y,DURATION
38,7,ES100519.xml,4 días,281,287,P4D,DURATION
39,7,ES100519.xml,las 48 horas,408,420,P2D,DURATION
40,7,ES100519.xml,las 24 horas,1454,1466,P1D,DURATION
41,7,ES100519.xml,las 48 horas,1577,1589,P2D,DURATION
42,7,ES100519.xml,los 15 días,2193,2204,P15D,DURATION
43,7,ES100519.xml,los 20 días,2643,2654,P20D,DURATION
44,7,ES100519.xml,Dos meses,3261,3270,P2M,DURATION
45,7,ES100519.xml,diaria,3533,3539,P1D,SET
46,8,ES100727.xml,16 años,19,26,P16Y,DURATION
47,8,ES100727.xml,los 10 días,2772,2783,P10D,DURATION
48,8,ES100727.xml,Actualmente,2925,2936,PRESENT_REF,DATE
49,8,ES100727.xml,3 años,2967,2973,P3Y,DURATION
50,9,ES100848.xml,55 años,9,16,P55Y,DURATION
51,9,ES100848.xml,noviembre de 2005,48,65,2005-11,DATE
52,9,ES100848.xml,120 horas,798,807,P5D,DURATION
53,9,ES100848.xml,marzo de 2007,994,1007,2007-03,DATE
54,9,ES100848.xml,5 meses,1907,1914,P5M,DURATION
55,10,ES100445.xml,11 años y 10 meses,8,26,P11Y10M,DURATION
56,10,ES100445.xml,los 2 años,322,332,P2Y,DURATION
57,10,ES100445.xml,actual,928,934,PRESENT_REF,DATE
58,10,ES100445.xml,11 años y 10 meses,938,956,P11Y10M,DURATION
59,11,ES100079.xml,56 años,12,19,P56Y,DURATION
60,11,ES100079.xml,3 meses,2550,2557,P3M,DURATION
61,11,ES100079.xml,los 12 meses,2955,2967,P1Y,DURATION
62,11,ES100079.xml,Actualmente,3241,3252,PRESENT_REF,DATE
63,11,ES100079.xml,20 meses,3271,3279,P20M,DURATION
64,12,ES100737.xml,5 años y 7 meses,12,28,P5Y7M,DURATION
65,12,ES100737.xml,el 12 de junio de 2002,119,141,2002-06-12,DATE
66,12,ES100737.xml,10 días,169,176,P10D,DURATION
67,12,ES100737.xml,los diez días,1768,1781,P10D,DURATION
68,12,ES100737.xml,la actualidad,1934,1947,PRESENT_REF,DATE
69,13,ES100051.xml,67 años,18,25,P67Y,DURATION
70,14,ES100521.xml,31 años,9,16,P31Y,DURATION
71,14,ES100521.xml,14 años,76,83,P14Y,DURATION
72,14,ES100521.xml,11 días,294,301,P11D,DURATION
73,14,ES100521.xml,21 días,605,612,P21D,DURATION
74,14,ES100521.xml,7 semanas,685,694,P7W,DURATION
75,14,ES100521.xml,diarios,1375,1382,P1D,SET
76,14,ES100521.xml,20 días,1452,1459,P20D,DURATION
77,14,ES100521.xml,diarios,1479,1486,P1D,SET
78,14,ES100521.xml,5 minutos,1950,1959,PT5M,DURATION
79,14,ES100521.xml,20 días,2286,2293,P20D,DURATION
80,14,ES100521.xml,Una semana,2781,2791,P1W,DURATION
81,14,ES100521.xml,4 meses,3188,3195,P4M,DURATION
82,14,ES100521.xml,2 semanas,3230,3239,P2W,DURATION
83,14,ES100521.xml,Seis semanas,3342,3354,P6W,DURATION
84,15,ES100284.xml,25 años,16,23,P25Y,DURATION
85,15,ES100284.xml,siete meses,103,114,P7M,DURATION
86,15,ES100284.xml,dos meses,282,291,P2M,DURATION
87,15,ES100284.xml,cinco meses,386,397,P5M,DURATION
88,15,ES100284.xml,3 meses,1552,1559,P3M,DURATION
89,16,ES100736.xml,20 años,24,31,P20Y,DURATION
90,16,ES100736.xml,Septiembre de 2003,49,67,2003-09,DATE
91,16,ES100736.xml,8 meses,289,296,P8M,DURATION
92,16,ES100736.xml,Mayo de 2004,871,883,2004-05,DATE
93,16,ES100736.xml,los 2 meses,1220,1231,P2M,DURATION
94,16,ES100736.xml,las pocas horas,1396,1411,PTXH,DURATION
95,16,ES100736.xml,unas 48 horas,1503,1516,P2D,DURATION
96,16,ES100736.xml,un mes,3548,3554,P1M,DURATION
97,17,ES100050.xml,19 años,12,19,P19Y,DURATION
98,17,ES100050.xml,unos 8 meses,135,147,P8M,DURATION
99,18,ES100642.xml,73 años,9,16,P73Y,DURATION
100,18,ES100642.xml,Al mes,504,510,P1M,SET
101,19,ES100091.xml,58 años,12,19,P58Y,DURATION
102,19,ES100091.xml,unos 15 días,162,174,P15D,DURATION
103,19,ES100091.xml,8 años,310,316,P8Y,DURATION
104,19,ES100091.xml,las últimas dos semanas,368,391,P2W,DURATION
105,19,ES100091.xml,4 horas,645,652,PT4H,DURATION
106,19,ES100091.xml,tres años,2031,2040,P3Y,DURATION
107,20,ES100278.xml,40 años,6,13,P40Y,DURATION
108,20,ES100278.xml,2 años,2772,2778,P2Y,DURATION
109,20,ES100278.xml,4 años,2843,2849,P4Y,DURATION
110,21,ES100791.xml,53 años,18,25,P53Y,DURATION
111,21,ES100791.xml,6 años,113,119,P6Y,DURATION
112,22,ES100578.xml,52 años,9,16,P52Y,DURATION
113,22,ES100578.xml,1970,605,609,1970,DATE
114,22,ES100578.xml,las 12 semanas,1009,1023,P12W,DURATION
115,22,ES100578.xml,las tres semanas,1789,1805,P3W,DURATION
116,23,ES100587.xml,29 años,15,22,P29Y,DURATION
117,23,ES100587.xml,los 6 años,187,197,P6Y,DURATION
118,23,ES100587.xml,hace 2 años,549,560,XXXX,DATE
119,24,ES100182.xml,75 años,9,16,P75Y,DURATION
120,25,ES100633.xml,46 años,9,16,P46Y,DURATION
121,25,ES100633.xml,7 días,78,84,P7D,DURATION
122,25,ES100633.xml,los 5 meses,443,454,P5M,DURATION
123,25,ES100633.xml,al día,649,655,P1D,SET
124,25,ES100633.xml,24 meses,671,679,P2Y,DURATION
125,26,ES100631.xml,43 años,9,16,P43Y,DURATION
126,26,ES100631.xml,4 días,88,94,P4D,DURATION
127,26,ES100631.xml,1840,580,584,1840,DATE
128,26,ES100631.xml,al mes,2675,2681,P1M,SET
129,26,ES100631.xml,los 4 meses,2686,2697,P4M,DURATION
130,26,ES100631.xml,actual,2993,2999,PRESENT_REF,DATE
131,26,ES100631.xml,24 meses,3006,3014,P2Y,DURATION
132,27,ES100143.xml,las 2 semanas,700,713,P2W,DURATION
133,27,ES100143.xml,al mes,758,764,P1M,SET
134,28,ES100962.xml,20 años,39,46,P20Y,DURATION
135,28,ES100962.xml,8 horas,1696,1703,PT8H,DURATION
136,28,ES100962.xml,una semana,1712,1722,P1W,DURATION
137,28,ES100962.xml,8 horas,1798,1805,PT8H,DURATION
138,28,ES100962.xml,una semana,1814,1824,P1W,DURATION
139,28,ES100962.xml,los diez días,1912,1925,P10D,DURATION
140,29,ES100552.xml,42 años,9,16,P42Y,DURATION
141,29,ES100552.xml,10 días,65,72,P10D,DURATION
142,29,ES100552.xml,hace 20 años,200,212,XXXX,DATE
143,29,ES100552.xml,los 8 meses,1916,1927,P8M,DURATION
144,30,ES100778.xml,75 años,25,32,P75Y,DURATION
145,30,ES100778.xml,30 minutos,775,785,PT30M,DURATION
146,30,ES100778.xml,100,955,958,0100,DATE
147,30,ES100778.xml,diaria,1024,1030,P1D,SET
148,30,ES100778.xml,las 2 semanas,1592,1605,P2W,DURATION
149,30,ES100778.xml,18 meses,1726,1734,P18M,DURATION
150,31,ES100803.xml,13 años,8,15,P13Y,DURATION
151,31,ES100803.xml,los cuatro meses,200,216,P4M,DURATION
152,32,ES100634.xml,28 años,9,16,P28Y,DURATION
153,32,ES100634.xml,un mes,73,79,P1M,DURATION
154,32,ES100634.xml,diarios,482,489,P1D,SET
155,32,ES100634.xml,los seis meses,526,540,P6M,DURATION
156,32,ES100634.xml,al año,604,610,P1Y,SET
157,32,ES100634.xml,tres años,640,649,P3Y,DURATION
158,33,ES100797.xml,37 años,9,16,P37Y,DURATION
159,33,ES100797.xml,hace 2 años,122,133,XXXX,DATE
160,33,ES100797.xml,hace un año,195,206,XXXX,DATE
161,33,ES100797.xml,la semana,1279,1288,XXXX-WXX,DATE
162,33,ES100797.xml,los 6 meses,3327,3338,P6M,DURATION
163,34,ES100594.xml,72 años,9,16,P72Y,DURATION
164,34,ES100594.xml,hace 17 años,54,66,XXXX,DATE
165,34,ES100594.xml,los 10 meses,1973,1985,P10M,DURATION
166,34,ES100594.xml,la actualidad,2144,2157,PRESENT_REF,DATE
167,35,ES100423.xml,45 años,9,16,P45Y,DURATION
168,35,ES100423.xml,Quince días,280,291,P15D,DURATION
169,35,ES100423.xml,16 años,434,441,P16Y,DURATION
170,35,ES100423.xml,un año,604,610,P1Y,DURATION
171,35,ES100423.xml,años,781,785,PXY,DURATION
172,35,ES100423.xml,al año,1597,1603,P1Y,SET
173,35,ES100423.xml,reciente,1740,1748,PAST_REF,DATE
174,36,ES100569.xml,25 años,9,16,P25Y,DURATION
175,36,ES100569.xml,una semana,971,981,P1W,DURATION
176,37,ES100030.xml,61 años,35,42,P61Y,DURATION
177,37,ES100030.xml,18 meses,115,123,P18M,DURATION
178,37,ES100030.xml,los 4 meses,976,987,P4M,DURATION
179,38,ES100178.xml,34 años,18,25,P34Y,DURATION
180,38,ES100178.xml,10 años,105,112,P10Y,DURATION
181,38,ES100178.xml,6 horas,354,361,PT6H,DURATION
182,38,ES100178.xml,tres días,491,500,P3D,DURATION
183,38,ES100178.xml,14 días,578,585,P14D,DURATION
184,38,ES100178.xml,7 días,671,677,P7D,DURATION
185,39,ES100420.xml,69 años,9,16,P69Y,DURATION
186,39,ES100420.xml,Dos meses,826,835,P2M,DURATION
187,39,ES100420.xml,6 horas,1327,1334,PT6H,DURATION
188,39,ES100420.xml,3 días,1343,1349,P3D,DURATION
189,39,ES100420.xml,2 días,1375,1381,P2D,DURATION
190,39,ES100420.xml,ocho meses,1523,1533,P8M,DURATION
191,40,ES100363.xml,89 años,18,25,P89Y,DURATION
192,40,ES100363.xml,24 horas,398,406,P1D,DURATION
193,40,ES100363.xml,los 5 días,448,458,P5D,DURATION
194,40,ES100363.xml,los 5 días,2573,2583,P5D,DURATION
195,40,ES100363.xml,al mes,2660,2666,P1M,SET
196,40,ES100363.xml,los 4 meses,2698,2709,P4M,DURATION
197,40,ES100363.xml,los 3 meses,2915,2926,P3M,DURATION
198,41,ES100001.xml,el último año,116,129,XXXX,DATE
199,41,ES100001.xml,un año,166,172,P1Y,DURATION
200,42,ES100571.xml,70 años,9,16,P70Y,DURATION
201,42,ES100571.xml,1 mes,102,107,P1M,DURATION
202,42,ES100571.xml,1 semana,2965,2973,P1W,DURATION
203,42,ES100571.xml,3 meses,3015,3022,P3M,DURATION
204,42,ES100571.xml,Una semana,3265,3275,P1W,DURATION
205,43,ES100809.xml,32 años,36,43,P32Y,DURATION
206,43,ES100809.xml,las 24 horas,1652,1664,P1D,DURATION
207,43,ES100809.xml,los 15 días,2113,2124,P15D,DURATION
208,43,ES100809.xml,aproximadamente 8 horas,2829,2852,PT8H,DURATION
209,43,ES100809.xml,al día,2853,2859,P1D,SET
210,43,ES100809.xml,30 minutos,3377,3387,PT30M,DURATION
211,44,ES100410.xml,73 años,12,19,P73Y,DURATION
212,44,ES100410.xml,once años,116,125,P11Y,DURATION
213,44,ES100410.xml,un mes,160,166,P1M,DURATION
214,44,ES100410.xml,las dos semanas,765,780,P2W,DURATION
215,44,ES100410.xml,los 40 días,1224,1235,P40D,DURATION
216,44,ES100410.xml,los 73 días,1832,1843,P73D,DURATION
217,45,ES100412.xml,58 años,35,42,P58Y,DURATION
218,46,ES100002.xml,66 años,9,16,P66Y,DURATION
219,46,ES100002.xml,Ocho meses,421,431,P8M,DURATION
220,46,ES100002.xml,9 años,2097,2103,P9Y,DURATION
221,47,ES100994.xml,58 años,39,46,P58Y,DURATION
222,47,ES100994.xml,los 42 años,90,101,P42Y,DURATION
223,47,ES100994.xml,Dos años,141,149,P2Y,DURATION
224,47,ES100994.xml,58 años,1496,1503,P58Y,DURATION
225,47,ES100994.xml,Un año,1685,1691,P1Y,DURATION
226,47,ES100994.xml,el mismo mes,1704,1716,XXXX-XX,DATE
227,47,ES100994.xml,el mismo mes,2764,2776,XXXX-XX,DATE
228,47,ES100994.xml,un año,2819,2825,P1Y,DURATION
229,48,ES100214.xml,3 años,9,15,P3Y,DURATION
230,48,ES100214.xml,11 días,165,172,P11D,DURATION
231,48,ES100214.xml,24 horas,337,345,P1D,DURATION
232,48,ES100214.xml,el día 1,453,461,XXXX-XX-01,DATE
233,48,ES100214.xml,20 minutos,552,562,PT20M,DURATION
234,48,ES100214.xml,30 minutos,723,733,PT30M,DURATION
235,48,ES100214.xml,diario,891,897,P1D,SET
236,48,ES100214.xml,El día 12,1027,1036,XXXX-XX-12,DATE
237,48,ES100214.xml,40 minutos,1078,1088,PT40M,DURATION
238,48,ES100214.xml,60 minutos,1376,1386,PT1H,DURATION
239,48,ES100214.xml,2 horas,1399,1406,PT2H,DURATION
240,48,ES100214.xml,el día 15,1749,1758,XXXX-XX-15,DATE
241,48,ES100214.xml,el día 16,1804,1813,XXXX-XX-16,DATE
242,49,ES100605.xml,16 años,9,16,P16Y,DURATION
243,49,ES100605.xml,los pocos días,381,395,PXD,DURATION
244,50,ES100163.xml,46 años,9,16,P46Y,DURATION
245,50,ES100163.xml,los 42 años,85,96,P42Y,DURATION
246,50,ES100163.xml,los últimos días,213,229,PXD,DURATION
247,50,ES100163.xml,los 4 meses,1069,1080,P4M,DURATION
248,51,ES100177.xml,74 años,9,16,P74Y,DURATION
249,51,ES100177.xml,Ocho horas,408,418,PT8H,DURATION
250,51,ES100177.xml,Diez horas,503,513,PT10H,DURATION
251,51,ES100177.xml,13 días,809,816,P13D,DURATION
252,51,ES100177.xml,Cuatro meses,858,870,P4M,DURATION
253,51,ES100177.xml,un año,924,930,P1Y,DURATION
254,52,ES100417.xml,un año y cinco meses,9,29,P1Y5M,DURATION
255,52,ES100417.xml,18 semanas,568,578,P18W,DURATION
256,52,ES100417.xml,los tres años,2889,2902,P3Y,DURATION
257,53,ES100832.xml,51 años,9,16,P51Y,DURATION
258,53,ES100832.xml,24 horas,97,105,P1D,DURATION
259,53,ES100832.xml,2 horas,1276,1283,PT2H,DURATION
260,54,ES100775.xml,trece años,10,20,P13Y,DURATION
261,54,ES100775.xml,12 días,58,65,P12D,DURATION
262,54,ES100775.xml,3 días,596,602,P3D,DURATION
263,55,ES100946.xml,64 años,9,16,P64Y,DURATION
264,55,ES100946.xml,6 meses,63,70,P6M,DURATION
265,55,ES100946.xml,1000,1484,1488,1000,DATE
266,56,ES100947.xml,46 años,10,17,P46Y,DURATION
267,56,ES100947.xml,los 6 meses,212,223,P6M,DURATION
268,56,ES100947.xml,2 minutos,1079,1088,PT2M,DURATION
269,56,ES100947.xml,4 días,1430,1436,P4D,DURATION
270,56,ES100947.xml,al día,1499,1505,P1D,SET
271,56,ES100947.xml,2 semanas,1508,1517,P2W,DURATION
272,56,ES100947.xml,los 12 meses,1754,1766,P1Y,DURATION
273,57,ES100760.xml,60 años,9,16,P60Y,DURATION
274,57,ES100760.xml,enero de 2010,34,47,2010-01,DATE
275,57,ES100760.xml,abril de 2011,100,113,2011-04,DATE
276,57,ES100760.xml,una semana,410,420,P1W,DURATION
277,57,ES100760.xml,abril de 2011,425,438,2011-04,DATE
278,57,ES100760.xml,septiembre de 2012,1457,1475,2012-09,DATE
279,57,ES100760.xml,al día,1564,1570,P1D,SET
280,57,ES100760.xml,Actualmente,1732,1743,PRESENT_REF,DATE
281,57,ES100760.xml,recientemente,1856,1869,PAST_REF,DATE
282,58,ES100819.xml,53 años,25,32,P53Y,DURATION
283,58,ES100819.xml,1 hora,968,974,PT1H,DURATION
284,58,ES100819.xml,50 minutos,975,985,PT50M,DURATION
285,58,ES100819.xml,las 6 horas,3077,3088,PT6H,DURATION
286,58,ES100819.xml,la mañana,3185,3194,XXXX-XX-XXTMO,TIME
287,58,ES100819.xml,12 horas,3206,3214,PT12H,DURATION
288,58,ES100819.xml,24 horas,3396,3404,P1D,DURATION
289,58,ES100819.xml,al mes,3534,3540,P1M,SET
290,59,ES100789.xml,68 años,18,25,P68Y,DURATION
291,59,ES100789.xml,hace 2 semanas,266,280,XXXX-XX-XX,DATE
292,59,ES100789.xml,las 2 semanas,432,445,P2W,DURATION
293,59,ES100789.xml,los 3 meses,559,570,P3M,DURATION
294,60,ES100561.xml,muchos años,76,87,PXY,DURATION
295,60,ES100561.xml,las tres semanas,1128,1144,P3W,DURATION
296,60,ES100561.xml,1500,2458,2462,1500,DATE
297,60,ES100561.xml,dos meses,2502,2511,P2M,DURATION
298,60,ES100561.xml,4 meses,2525,2532,P4M,DURATION
299,60,ES100561.xml,al día,2582,2588,P1D,SET
300,60,ES100561.xml,mensuales,2673,2682,P1M,SET
301,60,ES100561.xml,los 7 meses,2799,2810,P7M,DURATION
302,60,ES100561.xml,1299,2910,2914,1299,DATE
303,60,ES100561.xml,2006,2915,2919,2006,DATE
304,60,ES100561.xml,de 10 de noviembre,2921,2939,2006-11-10,DATE
305,61,ES100978.xml,59 años,12,19,P59Y,DURATION
306,61,ES100978.xml,hace un mes,62,73,XXXX-XX,DATE
307,61,ES100978.xml,12 horas,2308,2316,PT12H,DURATION
308,61,ES100978.xml,5 meses,3465,3472,P5M,DURATION
309,61,ES100978.xml,los dos meses,3757,3770,P2M,DURATION
310,62,ES100937.xml,un mes,8,14,P1M,DURATION
311,62,ES100937.xml,48 horas,62,70,P2D,DURATION
312,62,ES100937.xml,24 horas,719,727,P1D,DURATION
313,62,ES100937.xml,las 48 horas,798,810,P2D,DURATION
314,62,ES100937.xml,2670,1007,1011,2670,DATE
315,62,ES100937.xml,cinco días,1633,1643,P5D,DURATION
316,63,ES100513.xml,7 años,9,15,P7Y,DURATION
317,64,ES100063.xml,58 años,9,16,P58Y,DURATION
318,64,ES100063.xml,6 meses,107,114,P6M,DURATION
319,64,ES100063.xml,los 40 días,3179,3190,P40D,DURATION
320,64,ES100063.xml,veinticuatro meses,3271,3289,P2Y,DURATION
321,64,ES100063.xml,Actualmente,3325,3336,PRESENT_REF,DATE
322,64,ES100063.xml,28 meses,3395,3403,P28M,DURATION
323,65,ES100705.xml,5 años,33,39,P5Y,DURATION
324,65,ES100705.xml,6 meses,243,250,P6M,DURATION
325,65,ES100705.xml,los 4 años,286,296,P4Y,DURATION
326,65,ES100705.xml,los tres meses,1837,1851,P3M,DURATION
327,66,ES100659.xml,43 años,35,42,P43Y,DURATION
328,66,ES100659.xml,las dos semanas,136,151,P2W,DURATION
329,66,ES100659.xml,una semana,743,753,P1W,DURATION
330,66,ES100659.xml,la semana,914,923,XXXX-WXX,DATE
331,67,ES100840.xml,39 años,9,16,P39Y,DURATION
332,67,ES100840.xml,48 horas,296,304,P2D,DURATION
333,67,ES100840.xml,el último año,366,379,XXXX,DATE
334,67,ES100840.xml,unas horas,419,429,PTXH,DURATION
335,68,ES100713.xml,28 años,21,28,P28Y,DURATION
336,68,ES100713.xml,15 días,168,175,P15D,DURATION
337,68,ES100713.xml,5 meses,1951,1958,P5M,DURATION
338,69,ES100896.xml,12 meses,18,26,P1Y,DURATION
339,69,ES100896.xml,unas 10 horas,121,134,PT10H,DURATION
340,70,ES100064.xml,64 años,9,16,P64Y,DURATION
341,70,ES100064.xml,mayo de 2006,33,45,2006-05,DATE
342,70,ES100064.xml,20 años,245,252,P20Y,DURATION
343,70,ES100064.xml,1993,304,308,1993,DATE
344,70,ES100064.xml,1994,311,315,1994,DATE
345,70,ES100064.xml,septiembre de 2005,393,411,2005-09,DATE
346,70,ES100064.xml,cada 21 días,619,631,P21D,SET
347,70,ES100064.xml,6 meses,640,647,P6M,DURATION
348,70,ES100064.xml,enero de 2006,679,692,2006-01,DATE
349,70,ES100064.xml,1145,1410,1414,1145,DATE
350,70,ES100064.xml,junio de 2006,2803,2816,2006-06,DATE
351,70,ES100064.xml,cada 21 días,2862,2874,P21D,SET
352,70,ES100064.xml,finales de septiembre de 2006,2938,2967,2006-09,DATE
353,70,ES100064.xml,julio de 2006,3000,3013,2006-07,DATE
354,70,ES100064.xml,octubre de 2006,3210,3225,2006-10,DATE
355,70,ES100064.xml,Recientemente,3291,3304,PAST_REF,DATE
356,70,ES100064.xml,enero de 2007,3308,3321,2007-01,DATE
357,71,ES100273.xml,67 años,9,16,P67Y,DURATION
358,71,ES100273.xml,enero de 2008,190,203,2008-01,DATE
359,72,ES100924.xml,12 años,39,46,P12Y,DURATION
360,72,ES100924.xml,36 horas,180,188,PT36H,DURATION
361,73,ES100688.xml,24 años,47,54,P24Y,DURATION
362,73,ES100688.xml,octubre de 2006,150,165,2006-10,DATE
363,73,ES100688.xml,del año 2004,459,471,2004,DATE
364,73,ES100688.xml,el mismo año,495,507,2004,DATE
365,73,ES100688.xml,una semana,1570,1580,P1W,DURATION
366,73,ES100688.xml,tres meses,1616,1626,P3M,DURATION
367,73,ES100688.xml,al mes,1998,2004,P1M,SET
368,74,ES100663.xml,58 años,39,46,P58Y,DURATION
369,74,ES100663.xml,varios meses,186,198,PXM,DURATION
370,74,ES100663.xml,estos momentos,1398,1412,PRESENT_REF,DATE
371,75,ES100715.xml,86 años,12,19,P86Y,DURATION
372,75,ES100715.xml,2 semanas,1609,1618,P2W,DURATION
373,75,ES100715.xml,2 meses,1724,1731,P2M,DURATION
374,75,ES100715.xml,3 semanas,2095,2104,P3W,DURATION
375,76,ES100098.xml,75 años,9,16,P75Y,DURATION
376,76,ES100098.xml,22 meses,3198,3206,P22M,DURATION
377,77,ES100259.xml,20 años,35,42,P20Y,DURATION
378,77,ES100259.xml,un año,84,90,P1Y,DURATION
379,77,ES100259.xml,24 horas,499,507,P1D,DURATION
380,77,ES100259.xml,2424,639,643,2424,DATE
381,78,ES100112.xml,67 años,9,16,P67Y,DURATION
382,78,ES100112.xml,los 64 años,286,297,P64Y,DURATION
383,78,ES100112.xml,4 meses,479,486,P4M,DURATION
384,78,ES100112.xml,días previos,495,507,XXXX-XX-XX,DATE
385,78,ES100112.xml,Tres días,1467,1476,P3D,DURATION
386,78,ES100112.xml,los seis meses,2153,2167,P6M,DURATION
387,78,ES100112.xml,las 72 horas,2674,2686,P3D,DURATION
388,79,ES100310.xml,73 años,9,16,P73Y,DURATION
389,79,ES100310.xml,3 meses,156,163,P3M,DURATION
390,79,ES100310.xml,dos meses,292,301,P2M,DURATION
391,79,ES100310.xml,dos años,353,361,P2Y,DURATION
392,80,ES100304.xml,34 años,9,16,P34Y,DURATION
393,80,ES100304.xml,9 años,224,230,P9Y,DURATION
394,80,ES100304.xml,los 3 meses,380,391,P3M,DURATION
395,80,ES100304.xml,diaria,470,476,P1D,SET
396,80,ES100304.xml,semanal,2099,2106,P1W,SET
397,80,ES100304.xml,semanal,2926,2933,P1W,SET
398,80,ES100304.xml,3 meses,2972,2979,P3M,DURATION
399,80,ES100304.xml,la actualidad,3111,3124,PRESENT_REF,DATE
